"","start_sample_date_time","stop_sample_date_time","comments","flightNumber","swas_case","swas_bottle","gc_date_time","ethane","ethene","propane","propene","iso_butane","n_butane","acetylene","but_1_ene","iso_butene","cis_2_butene","cyclo_pentane","iso_pentane","n_pentane","methyl_2_pentane","methyl_3_pentane","n_hexane","iso_octane","benzene","toluene","ethyl_benzene","m_xylene","p_xylene","o_xylene","tmb_135","tmb_124","tmb_123","trans_2_pentene","pent_1_ene","buta_1_3_diene","ALT_GIN","LAT_GIN","LON_GIN","PS_RVSM","PS_RVSM_FLAG","TAT_ND_R","TAT_ND_R_FLAG","O3_TECO","no_mr","no2_mr","co2_drymole","ch4_drymole","chl","nh4","no3","org","so4","mass_bc_ugm3","n_bc"
"1",2025-06-03T09:46:06+00:00,2025-06-03T09:46:28+00:00,"REVEAL_FLIGHT","c409",1,2,"19/07/2025T02:00",2.495,1.502,0.558,0.126,0.043,0.127,0.144,0.025,0.022,0.002,0.006,0.042,0.053,0.008,0.003,0.021,0.023,0.467,0.261,0.011,0.038,0.021,0.03,0.014,0.037,0.02,NA,NA,NA,9226.03756256104,52.930625641346,1.41468521095812,301.027203226089,0,231.803666853905,0,65.0459999084473,41.7805341913355,101.64040283456,432.2962,1997.9204,NA,NA,NA,NA,NA,1.64899230617285,431.82301902771
"2",2025-06-03T09:50:36+00:00,2025-06-03T09:50:58+00:00,"REVEAL_FLIGHT","c409",1,3,"19/07/2025T03:11",2.393,1.483,0.53,0.119,0.038,0.12,0.14,0.023,0.019,NA,0.006,0.028,0.045,0.006,0.002,0.021,NA,0.45,0.222,0.008,0.023,0.011,0.019,0.008,0.021,0.011,NA,NA,NA,9229.91953735351,52.8312599539757,2.2308033645153,301.200605487824,0,232.231711745262,0,65.315998840332,22.1951080717146,85.400018151179,432.3167,1997.9851,NA,NA,NA,NA,NA,1.64748062741756,482.440946102142
"3",2025-06-03T09:58:57+00:00,2025-06-03T09:59:19+00:00,"REVEAL_FLIGHT","c409",1,4,"19/07/2025T04:21",3.141,2.287,0.73,0.243,0.056,0.172,0.174,0.044,0.021,0.003,0.006,0.039,0.072,0.013,0.004,0.031,0.013,0.604,0.318,0.014,0.034,0.016,0.027,0.011,0.034,0.016,0.003,NA,NA,9222.05420684814,53.2001411616802,2.54011133760214,301.075234365463,0,232.150656509399,0,94.0200012207031,35.9864249614626,100.080759888887,431.1578,1982.81575,0.24586886,2.6821878,5.7899237,66.209885,1.697207,1.03640398603678,334.971067428589
"4",2025-06-03T10:09:24+00:00,2025-06-03T10:09:46+00:00,"REVEAL_FLIGHT","c409",1,5,"19/07/2025T05:32",1.303,0.51,0.245,0.039,0.015,0.048,0.075,0.008,0.01,NA,0.006,0.007,0.014,NA,NA,0.005,0.004,0.147,0.03,NA,0.005,0.003,0.004,0.004,0.01,0.007,NA,NA,NA,9205.09524688721,53.3898688077927,1.07337372731417,301.114346027374,0,231.1811866045,0,62.4700004577637,18.0735136208683,86.4710203645378,432.1595,2011.4589,NA,NA,NA,NA,NA,1.36829388344288,437.748442173004
"5",2025-06-03T10:34:35+00:00,2025-06-03T10:34:57+00:00,"REVEAL_FLIGHT","c409",1,6,"19/07/2025T06:42",1.873,1.332,0.398,0.145,0.027,0.087,0.118,0.026,0.017,NA,0.006,0.015,0.034,0.003,NA,0.016,0.007,0.34,0.17,0.006,0.017,0.008,0.015,0.005,0.015,0.008,0.002,NA,NA,9109.89786224365,54.8812750041485,-1.5597645657137,301.025919961929,0,231.178869342804,0,98.2380004882812,14.2600389769673,93.7209826222062,430.60645,1963.8239,NA,NA,NA,NA,NA,0.772949721038342,196.439482450485
"6",2025-06-03T10:54:09+00:00,2025-06-03T10:54:35+00:00,"REVEAL_FLIGHT","c409",1,7,"19/07/2025T07:52",0.715,0.124,0.106,0.037,0.008,0.018,0.03,0.01,0.01,0.002,0.005,0.003,0.005,NA,NA,0.002,0.003,0.091,0.012,NA,0.003,NA,0.002,0.002,0.006,0.004,NA,NA,NA,8987.41913960775,56.8649444937706,-2.17955638021231,301.176861349742,0,233.200992234548,0,66.3073328653971,23.5883027346929,88.0014313286543,432.0741,1996.23826666667,NA,NA,NA,NA,NA,1.82105989805857,465.844432353973
"7",2025-06-03T11:18:18+00:00,2025-06-03T11:18:44+00:00,"REVEAL_FLIGHT","c409",1,8,"19/07/2025T09:03",0.681,0.112,0.098,0.043,0.007,0.018,0.021,0.014,0.014,NA,0.005,0.004,0.005,NA,NA,0.002,0.006,0.085,0.032,NA,0.002,NA,0.002,0.002,0.006,0.004,NA,NA,NA,10344.4730143229,54.8063726385434,-2.03280961538355,250.286089579264,0,226.259912157059,0,201.093333943685,173.672701524099,218.38108926932,428.443733333333,1930.6334,NA,NA,NA,NA,NA,0.0956504874068002,36.0496343672276
"8",2025-06-03T11:26:07+00:00,2025-06-03T11:26:33+00:00,"REVEAL_FLIGHT","c409",1,9,"19/07/2025T13:42",0.472,0.069,0.065,0.023,0.002,0.014,0.014,0.008,0.011,NA,0.005,0.003,0.003,NA,NA,NA,0.007,0.064,0.034,NA,0.004,0.003,0.004,0.004,0.009,0.008,NA,NA,NA,10385.9206288656,54.0764197627703,-1.98833287768066,250.153804715474,0,226.183914279938,0,292.433337402344,252.736376978556,267.05238966465,426.830566666667,1894.4342,NA,NA,NA,NA,NA,0.0739330302281305,43.258287380139
"9",2025-06-03T11:29:41+00:00,2025-06-03T11:30:07+00:00,"REVEAL_FLIGHT","c409",1,10,"19/07/2025T14:53",0.589,0.082,0.086,0.021,0.006,0.015,0.022,0.006,0.009,NA,0.005,0.003,0.003,NA,NA,NA,0.003,0.054,0.012,NA,0.002,NA,0.002,0.002,0.005,0.005,NA,NA,NA,10400.036390686,53.7388015508652,-1.98335221428424,250.260543131828,0,226.740118145943,0,230.95,171.972450752258,218.541152196527,427.45875,1910.6886,0.014049454,0.29895148,0.35789993,3.7176204,1.2721967,0.132470834562555,40.2302878201008
"10",2025-06-03T11:31:27+00:00,2025-06-03T11:31:53+00:00,"REVEAL_FLIGHT","c409",1,11,"19/07/2025T16:03",0.672,0.108,0.101,0.017,0.002,0.017,0.026,0.004,0.007,NA,0.005,0.002,0.004,NA,NA,NA,0.002,0.046,0.005,NA,0.002,NA,NA,0.002,0.004,0.003,NA,NA,NA,10412.9869689941,53.5724835673968,-1.98097521563371,250.163007831573,0,227.057012224197,0,210.939998372396,141.45336236318,244.256821928024,428.3187,1925.26523333333,NA,NA,NA,NA,NA,0.179183688175554,44.2291622956594
